car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,age_band,km_band,price_lakh
Hyundai Santro,Hyundai,Santro,10,174926,Individual,Petrol,Manual,17.92,1086,62.1,5,150000,9-12 years,150K+,1.5
Maruti Swift Dzire,Maruti,Swift Dzire,7,60000,Individual,Diesel,Manual,23.4,1248,74.0,5,400000,6-8 years,50-100K,4.0
Honda City,Honda,City,5,70333,Dealer,Petrol,Manual,17.8,1497,117.3,5,700000,3-5 years,50-100K,7.0
Hyundai i20,Hyundai,i20,4,90000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000,3-5 years,50-100K,5.0
Toyota Innova,Toyota,Innova,9,25000,Individual,Diesel,Manual,12.99,2494,100.0,8,1050000,9-12 years,20-50K,10.5
Maruti Swift Dzire,Maruti,Swift Dzire,5,120000,Individual,Diesel,Manual,26.59,1248,74.0,5,568000,3-5 years,100-150K,5.68
Toyota Yaris,Toyota,Yaris,2,5000,Individual,Petrol,Automatic,17.8,1496,105.5,5,1000000,0-2 years,0-20K,10.0
Mahindra Scorpio,Mahindra,Scorpio,3,39000,Dealer,Diesel,Manual,16.36,2179,140.0,7,1275000,3-5 years,20-50K,12.75
Hyundai i20,Hyundai,i20,6,25000,Individual,Petrol,Manual,18.6,1197,81.83,5,475000,6-8 years,20-50K,4.75
Skoda Superb,Skoda,Superb,10,92000,Individual,Petrol,Manual,13.14,1798,157.8,5,350000,9-12 years,50-100K,3.5
Volkswagen Polo,Volkswagen,Polo,7,51000,Dealer,Diesel,Manual,20.14,1498,88.8,5,395000,6-8 years,50-100K,3.95
BMW 3,BMW,3,9,54000,Dealer,Diesel,Automatic,19.62,1995,187.74,5,825000,9-12 years,50-100K,8.25
Tata Tiago,Tata,Tiago,4,35000,Individual,Diesel,Manual,27.28,1047,69.0,5,450000,3-5 years,20-50K,4.5
Maruti Celerio,Maruti,Celerio,3,24000,Dealer,Petrol,Manual,21.63,998,67.04,5,495000,3-5 years,20-50K,4.95
Renault Duster,Renault,Duster,8,70000,Individual,Diesel,Manual,19.01,1461,108.45,5,500000,6-8 years,50-100K,5.0
Mahindra Scorpio,Mahindra,Scorpio,6,140000,Individual,Diesel,Manual,15.4,2179,120.0,7,900000,6-8 years,100-150K,9.0
Toyota Innova,Toyota,Innova,8,387000,Individual,Diesel,Manual,12.99,2494,100.6,8,700000,6-8 years,150K+,7.0
Maruti Vitara,Maruti,Vitara,4,36000,Dealer,Diesel,Manual,24.3,1248,88.5,5,710000,3-5 years,20-50K,7.1
Tata Tiago,Tata,Tiago,3,110000,Individual,Petrol,Manual,23.84,1199,84.0,5,400000,3-5 years,100-150K,4.0
Tata Tiago,Tata,Tiago,4,1000,Individual,Petrol,Manual,23.84,1199,84.0,5,470000,3-5 years,0-20K,4.7
Maruti Vitara,Maruti,Vitara,3,24525,Dealer,Diesel,Manual,24.3,1248,88.5,5,795000,3-5 years,20-50K,7.95
Honda City,Honda,City,4,32440,Individual,Petrol,Manual,17.4,1497,117.6,5,785000,3-5 years,20-50K,7.85
Hyundai i10,Hyundai,i10,10,70000,Individual,Petrol,Manual,19.81,1086,68.05,5,250000,9-12 years,50-100K,2.5
Datsun RediGO,Datsun,RediGO,3,30000,Individual,Petrol,Manual,22.5,999,67.0,5,270000,3-5 years,20-50K,2.7
Volkswagen Vento,Volkswagen,Vento,3,23268,Individual,Diesel,Manual,22.27,1498,108.6,5,914000,3-5 years,20-50K,9.14
Maruti Wagon R,Maruti,Wagon R,8,67000,Dealer,CNG,Manual,32.52,998,58.33,5,260000,6-8 years,50-100K,2.6
Renault Duster,Renault,Duster,6,150000,Individual,Diesel,Manual,20.45,1461,83.8,5,550000,6-8 years,100-150K,5.5
Toyota Innova,Toyota,Innova,2,25000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,2225000,0-2 years,20-50K,22.25
Maruti Swift,Maruti,Swift,3,50000,Individual,Petrol,Manual,21.21,1197,81.8,5,540000,3-5 years,20-50K,5.4
Mahindra Thar,Mahindra,Thar,5,40000,Individual,Diesel,Manual,16.55,2498,105.0,6,620000,3-5 years,20-50K,6.2
Audi A4,Audi,A4,7,56000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1550000,6-8 years,50-100K,15.5
Honda City,Honda,City,10,60000,Dealer,Petrol,Manual,17.0,1497,118.0,5,350000,9-12 years,50-100K,3.5
Maruti Alto,Maruti,Alto,5,10000,Individual,Petrol,Manual,23.95,998,67.05,5,300000,3-5 years,0-20K,3.0
Honda City,Honda,City,7,110000,Individual,Diesel,Manual,25.1,1498,98.6,5,550000,6-8 years,100-150K,5.5
Mahindra Scorpio,Mahindra,Scorpio,2,30000,Individual,Diesel,Manual,16.36,2179,140.0,7,1270000,0-2 years,20-50K,12.7
Maruti Ertiga,Maruti,Ertiga,2,20000,Individual,Petrol,Manual,19.34,1462,103.0,7,740000,0-2 years,0-20K,7.4
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,7,89000,Dealer,Diesel,Automatic,11.3,2987,254.8,7,3450000,6-8 years,50-100K,34.5
Tata Tiago,Tata,Tiago,3,15000,Individual,Petrol,Manual,23.84,1199,84.0,5,450000,3-5 years,0-20K,4.5
Hyundai Verna,Hyundai,Verna,4,15000,Individual,Petrol,Automatic,15.74,1591,121.3,5,750000,3-5 years,0-20K,7.5
Maruti Swift,Maruti,Swift,6,90000,Individual,Diesel,Manual,25.2,1248,74.0,5,520000,6-8 years,50-100K,5.2
Maruti Swift,Maruti,Swift,8,73695,Trustmark Dealer,Petrol,Manual,18.6,1197,85.8,5,345000,6-8 years,50-100K,3.45
Hyundai i10,Hyundai,i10,12,100000,Individual,Petrol,Manual,19.81,1086,68.05,5,215000,9-12 years,50-100K,2.15
Hyundai Verna,Hyundai,Verna,11,10000,Individual,Petrol,Manual,16.2,1599,103.2,5,370000,9-12 years,0-20K,3.7
Maruti Alto,Maruti,Alto,7,14971,Trustmark Dealer,Petrol,Manual,22.74,796,47.3,5,230000,6-8 years,0-20K,2.3
Honda City,Honda,City,2,16000,Dealer,Petrol,Manual,17.4,1497,117.6,5,1075000,0-2 years,0-20K,10.75
Mahindra Bolero,Mahindra,Bolero,6,50000,Individual,Diesel,Manual,15.96,2523,62.1,7,550000,6-8 years,20-50K,5.5
Ford Figo,Ford,Figo,3,64000,Dealer,Diesel,Manual,24.4,1499,98.96,5,550000,3-5 years,50-100K,5.5
Tata Tigor,Tata,Tigor,4,25000,Individual,Diesel,Manual,24.7,1047,69.0,5,600000,3-5 years,20-50K,6.0
Maruti Ciaz,Maruti,Ciaz,6,37006,Dealer,Diesel,Manual,26.21,1248,88.5,5,525000,6-8 years,20-50K,5.25
Maruti Wagon R,Maruti,Wagon R,7,50000,Individual,Petrol,Manual,20.51,998,67.04,5,350000,6-8 years,20-50K,3.5
Maruti Swift Dzire,Maruti,Swift Dzire,12,94000,Dealer,Diesel,Manual,19.3,1248,73.9,5,255000,9-12 years,50-100K,2.55
Mahindra Scorpio,Mahindra,Scorpio,6,93469,Dealer,Diesel,Manual,15.4,2179,120.0,7,890000,6-8 years,50-100K,8.9
Mahindra XUV500,Mahindra,XUV500,3,20000,Individual,Diesel,Manual,16.0,2179,140.0,7,1500000,3-5 years,0-20K,15.0
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,5,20000,Individual,Diesel,Automatic,15.0,2143,204.0,5,3000000,3-5 years,0-20K,30.0
Mahindra Bolero,Mahindra,Bolero,8,35000,Individual,Diesel,Manual,15.96,2523,62.1,7,500000,6-8 years,20-50K,5.0
Maruti Wagon R,Maruti,Wagon R,6,38546,Dealer,Petrol,Manual,20.51,998,67.04,5,330000,6-8 years,20-50K,3.3
Skoda Rapid,Skoda,Rapid,4,18000,Individual,Petrol,Automatic,14.84,1598,103.2,5,850000,3-5 years,0-20K,8.5
Ford Figo,Ford,Figo,6,34500,Dealer,Petrol,Manual,15.6,1196,70.0,5,335000,6-8 years,20-50K,3.35
Maruti Swift Dzire,Maruti,Swift Dzire,3,43000,Dealer,Petrol,Automatic,21.21,1197,81.8,5,610000,3-5 years,20-50K,6.1
Maruti Baleno,Maruti,Baleno,3,20000,Individual,Petrol,Automatic,21.4,1197,83.1,5,834000,3-5 years,0-20K,8.34
Ford Figo,Ford,Figo,10,100000,Individual,Diesel,Manual,20.0,1399,68.0,5,170000,9-12 years,50-100K,1.7
Maruti Vitara,Maruti,Vitara,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,900000,3-5 years,20-50K,9.0
Honda City,Honda,City,7,120000,Individual,Diesel,Manual,26.0,1498,98.6,5,450000,6-8 years,100-150K,4.5
Maruti Ertiga,Maruti,Ertiga,2,25000,Individual,Petrol,Automatic,18.69,1462,103.0,7,900000,0-2 years,20-50K,9.0
Volkswagen Vento,Volkswagen,Vento,10,98000,Individual,Petrol,Manual,15.04,1598,103.6,5,360000,9-12 years,50-100K,3.6
Honda Jazz,Honda,Jazz,5,66000,Dealer,Petrol,Manual,16.0,1198,90.0,5,530000,3-5 years,50-100K,5.3
BMW X1,BMW,X1,4,30000,Individual,Diesel,Automatic,20.68,1995,188.0,5,2700000,3-5 years,20-50K,27.0
Mahindra Bolero,Mahindra,Bolero,6,60000,Individual,Diesel,Manual,15.96,2523,62.1,7,551000,6-8 years,50-100K,5.51
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,41315,Dealer,Petrol,Automatic,11.74,1796,186.0,5,1050000,9-12 years,20-50K,10.5
Hyundai Creta,Hyundai,Creta,3,60000,Individual,Diesel,Manual,19.67,1582,126.2,5,1000000,3-5 years,50-100K,10.0
Maruti Alto,Maruti,Alto,17,80000,Individual,Petrol,Manual,19.7,796,46.3,5,80000,13+ years,50-100K,0.8
Maruti Eeco,Maruti,Eeco,6,60000,Individual,CNG,Manual,20.0,1196,63.0,5,250000,6-8 years,50-100K,2.5
Maruti Wagon R,Maruti,Wagon R,5,35000,Dealer,Petrol,Manual,21.5,1197,81.8,5,390000,3-5 years,20-50K,3.9
Audi Q7,Audi,Q7,7,120000,Individual,Diesel,Automatic,12.07,2967,241.4,7,2400000,6-8 years,100-150K,24.0
Hyundai Verna,Hyundai,Verna,13,80000,Individual,Petrol,Manual,13.9,1599,103.2,5,130000,13+ years,50-100K,1.3
Maruti Swift Dzire,Maruti,Swift Dzire,4,100000,Individual,Diesel,Manual,26.59,1248,74.0,5,450000,3-5 years,50-100K,4.5
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,35400,Dealer,Diesel,Automatic,14.84,2143,167.62,5,1385000,6-8 years,20-50K,13.85
BMW 7,BMW,7,4,18000,Dealer,Diesel,Automatic,17.66,2993,355.37,4,6900000,3-5 years,0-20K,69.0
Maruti Swift,Maruti,Swift,5,37000,Dealer,Petrol,Manual,18.6,1197,85.8,5,495000,3-5 years,20-50K,4.95
Honda WR-V,Honda,WR-V,4,10000,Individual,Petrol,Manual,17.5,1199,88.7,5,800000,3-5 years,0-20K,8.0
Renault KWID,Renault,KWID,4,40000,Individual,Petrol,Manual,23.01,999,67.0,5,260000,3-5 years,20-50K,2.6
Maruti Alto,Maruti,Alto,18,120000,Individual,Petrol,Manual,19.7,796,46.3,5,65000,13+ years,100-150K,0.65
Hyundai Grand,Hyundai,Grand,5,60000,Individual,Petrol,Manual,18.9,1197,82.0,5,460000,3-5 years,50-100K,4.6
Hyundai i20,Hyundai,i20,7,100000,Individual,Diesel,Manual,21.9,1396,88.76,5,450000,6-8 years,50-100K,4.5
Maruti Wagon R,Maruti,Wagon R,14,55000,Dealer,Petrol,Manual,18.9,1061,67.0,5,105000,13+ years,50-100K,1.05
Honda CR-V,Honda,CR-V,4,34000,Dealer,Petrol,Automatic,12.0,2354,187.4,5,1775000,3-5 years,20-50K,17.75
Ford Ecosport,Ford,Ecosport,5,67000,Dealer,Diesel,Manual,22.77,1498,98.59,5,525000,3-5 years,50-100K,5.25
Renault KWID,Renault,KWID,4,10000,Individual,Petrol,Automatic,24.04,999,67.0,5,341000,3-5 years,0-20K,3.41
Hyundai Creta,Hyundai,Creta,5,20699,Dealer,Petrol,Manual,15.29,1591,121.3,5,775000,3-5 years,20-50K,7.75
Toyota Fortuner,Toyota,Fortuner,10,75000,Dealer,Diesel,Manual,11.5,2982,171.0,7,1099000,9-12 years,50-100K,10.99
Honda Amaze,Honda,Amaze,7,89000,Individual,Diesel,Manual,25.8,1498,98.6,5,320000,6-8 years,50-100K,3.2
Skoda Rapid,Skoda,Rapid,4,59000,Dealer,Petrol,Automatic,14.3,1598,103.6,5,599000,3-5 years,50-100K,5.99
Mahindra Scorpio,Mahindra,Scorpio,7,120000,Individual,Diesel,Manual,15.4,2523,75.0,9,750000,6-8 years,100-150K,7.5
Maruti Swift,Maruti,Swift,4,68791,Dealer,Diesel,Manual,25.2,1248,74.0,5,510000,3-5 years,50-100K,5.1
Maruti Alto,Maruti,Alto,2,10300,Individual,Petrol,Manual,24.7,796,47.3,5,300000,0-2 years,0-20K,3.0
Maruti Ertiga,Maruti,Ertiga,2,25000,Individual,Diesel,Manual,25.47,1248,88.5,7,1100000,0-2 years,20-50K,11.0
Maruti Swift Dzire,Maruti,Swift Dzire,7,36000,Dealer,Petrol,Manual,17.5,1197,85.8,5,435000,6-8 years,20-50K,4.35
Honda Jazz,Honda,Jazz,10,60000,Individual,Petrol,Manual,16.0,1198,90.0,5,320000,9-12 years,50-100K,3.2
Maruti Alto,Maruti,Alto,5,25000,Individual,Petrol,Manual,23.95,998,67.05,5,350000,3-5 years,20-50K,3.5
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,4,48000,Dealer,Diesel,Automatic,16.1,1950,191.7,5,3750000,3-5 years,20-50K,37.5
Honda CR-V,Honda,CR-V,4,90000,Dealer,Petrol,Automatic,10.1,2354,152.0,5,1490000,3-5 years,50-100K,14.9
Maruti Swift Dzire,Maruti,Swift Dzire,8,70000,Individual,Diesel,Manual,23.4,1248,74.0,5,550000,6-8 years,50-100K,5.5
Hyundai Verna,Hyundai,Verna,6,90000,Individual,Diesel,Manual,23.9,1582,126.2,5,525000,6-8 years,50-100K,5.25
Hyundai Verna,Hyundai,Verna,9,96000,Individual,Diesel,Manual,22.32,1582,126.32,5,415000,9-12 years,50-100K,4.15
Maruti Alto,Maruti,Alto,6,90000,Individual,Petrol,Manual,22.74,796,47.3,5,200000,6-8 years,50-100K,2.0
Maruti Ertiga,Maruti,Ertiga,4,41000,Dealer,Petrol,Manual,16.02,1373,93.7,7,695000,3-5 years,20-50K,6.95
Hyundai i10,Hyundai,i10,13,30000,Individual,Petrol,Manual,19.81,1086,68.05,5,160000,13+ years,20-50K,1.6
Hyundai i10,Hyundai,i10,10,29000,Dealer,Petrol,Manual,20.36,1197,78.9,5,235000,9-12 years,20-50K,2.35
Maruti Wagon R,Maruti,Wagon R,9,59000,Individual,Petrol,Manual,18.9,998,67.1,5,300000,9-12 years,50-100K,3.0
Hyundai i20,Hyundai,i20,3,12000,Individual,Petrol,Manual,17.19,1197,81.86,5,600000,3-5 years,0-20K,6.0
Maruti Wagon R,Maruti,Wagon R,3,45874,Dealer,CNG,Manual,26.6,998,58.16,5,357000,3-5 years,20-50K,3.57
Honda Amaze,Honda,Amaze,5,100000,Individual,Diesel,Manual,25.8,1498,98.6,5,320000,3-5 years,50-100K,3.2
Ford Figo,Ford,Figo,10,10000,Individual,Diesel,Manual,20.0,1399,68.0,5,250000,9-12 years,0-20K,2.5
Maruti Ciaz,Maruti,Ciaz,4,40000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,770000,3-5 years,20-50K,7.7
Mahindra XUV300,Mahindra,XUV300,2,25000,Individual,Petrol,Manual,17.0,1197,110.0,5,1140000,0-2 years,20-50K,11.4
Maruti Swift,Maruti,Swift,10,150000,Individual,Diesel,Manual,17.8,1248,75.0,5,200000,9-12 years,100-150K,2.0
Ford Ecosport,Ford,Ecosport,4,40000,Individual,Petrol,Manual,15.85,1499,110.4,5,700000,3-5 years,20-50K,7.0
Maruti Swift Dzire,Maruti,Swift Dzire,8,65000,Individual,Diesel,Manual,23.4,1248,74.0,5,480000,6-8 years,50-100K,4.8
Hyundai i20,Hyundai,i20,4,45000,Individual,Petrol,Manual,18.6,1197,81.83,5,600000,3-5 years,20-50K,6.0
Maruti Swift,Maruti,Swift,7,80000,Dealer,Diesel,Manual,25.2,1248,74.0,5,410000,6-8 years,50-100K,4.1
Honda City,Honda,City,5,60000,Individual,Diesel,Manual,26.0,1498,98.6,5,750000,3-5 years,50-100K,7.5
Maruti Baleno,Maruti,Baleno,6,38819,Dealer,Petrol,Manual,21.4,1197,83.1,5,510000,6-8 years,20-50K,5.1
Honda WR-V,Honda,WR-V,2,5700,Dealer,Petrol,Manual,17.5,1199,88.7,5,875000,0-2 years,0-20K,8.75
Maruti Baleno,Maruti,Baleno,4,24000,Dealer,Petrol,Manual,21.4,1197,83.1,5,565000,3-5 years,20-50K,5.65
Maruti Wagon R,Maruti,Wagon R,7,50000,Individual,Petrol,Manual,20.51,998,67.04,5,295000,6-8 years,20-50K,2.95
Tata Tiago,Tata,Tiago,4,35000,Individual,Petrol,Manual,23.84,1199,84.0,5,380000,3-5 years,20-50K,3.8
Mahindra Scorpio,Mahindra,Scorpio,7,70000,Individual,Diesel,Manual,14.0,2523,75.0,7,650000,6-8 years,50-100K,6.5
BMW 7,BMW,7,10,78251,Dealer,Diesel,Automatic,14.49,2993,258.0,5,1600000,9-12 years,50-100K,16.0
Hyundai Verna,Hyundai,Verna,8,59867,Dealer,Diesel,Manual,22.32,1582,126.32,5,450000,6-8 years,50-100K,4.5
Maruti S-Presso,Maruti,S-Presso,2,8400,Individual,Petrol,Manual,21.7,998,67.0,5,420000,0-2 years,0-20K,4.2
Maruti Celerio,Maruti,Celerio,7,9000,Individual,Petrol,Automatic,23.1,998,67.04,5,360000,6-8 years,0-20K,3.6
Maruti Celerio,Maruti,Celerio,6,17000,Individual,Petrol,Automatic,23.1,998,67.04,5,425000,6-8 years,0-20K,4.25
Tata Safari,Tata,Safari,9,94000,Individual,Diesel,Manual,13.93,2179,138.03,7,250000,9-12 years,50-100K,2.5
Volkswagen Polo,Volkswagen,Polo,9,35000,Individual,Diesel,Manual,22.07,1199,73.9,5,290000,9-12 years,20-50K,2.9
Honda Amaze,Honda,Amaze,2,25000,Dealer,Petrol,Manual,18.6,1199,88.76,5,640000,0-2 years,20-50K,6.4
Maruti Wagon R,Maruti,Wagon R,16,90000,Individual,Petrol,Manual,14.0,1061,64.0,5,80000,13+ years,50-100K,0.8
Mahindra XUV500,Mahindra,XUV500,8,90000,Individual,Diesel,Manual,15.1,2179,140.0,7,700000,6-8 years,50-100K,7.0
Maruti Swift Dzire,Maruti,Swift Dzire,5,40000,Individual,Diesel,Manual,26.59,1248,74.0,5,550000,3-5 years,20-50K,5.5
Maruti Swift Dzire,Maruti,Swift Dzire,7,78916,Individual,Diesel,Manual,23.4,1248,74.0,5,300000,6-8 years,50-100K,3.0
Hyundai Verna,Hyundai,Verna,4,19000,Individual,Petrol,Manual,17.0,1591,121.3,5,900000,3-5 years,0-20K,9.0
Maruti Swift,Maruti,Swift,13,75900,Individual,Petrol,Manual,16.1,1298,88.2,5,240000,13+ years,50-100K,2.4
Hyundai i20,Hyundai,i20,4,33230,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000,3-5 years,20-50K,6.55
Ford Figo,Ford,Figo,6,58000,Individual,Petrol,Manual,18.16,1196,86.8,5,290000,6-8 years,50-100K,2.9
Maruti Alto,Maruti,Alto,18,90000,Individual,Petrol,Manual,19.7,796,46.3,5,80000,13+ years,50-100K,0.8
Hyundai Grand,Hyundai,Grand,4,17000,Individual,Petrol,Manual,18.9,1197,82.0,5,425000,3-5 years,0-20K,4.25
Maruti Swift Dzire,Maruti,Swift Dzire,7,114605,Dealer,Petrol,Manual,19.1,1197,85.8,5,380000,6-8 years,100-150K,3.8
Kia Seltos,Kia,Seltos,2,19000,Individual,Diesel,Manual,20.8,1493,113.4,5,1250000,0-2 years,0-20K,12.5
Maruti Vitara,Maruti,Vitara,4,35000,Individual,Diesel,Manual,24.3,1248,88.5,5,884000,3-5 years,20-50K,8.84
Mahindra Bolero,Mahindra,Bolero,3,50000,Individual,Diesel,Manual,16.5,1493,70.0,7,800000,3-5 years,20-50K,8.0
Honda City,Honda,City,8,74000,Dealer,Petrol,Manual,16.9,1497,100.0,5,580000,6-8 years,50-100K,5.8
Maruti Wagon R,Maruti,Wagon R,2,6000,Dealer,Petrol,Manual,20.52,1197,81.8,5,500000,0-2 years,0-20K,5.0
BMW 5,BMW,5,3,7000,Dealer,Diesel,Automatic,22.48,1995,187.74,5,4750000,3-5 years,0-20K,47.5
Hyundai Grand,Hyundai,Grand,7,40000,Individual,Petrol,Manual,18.9,1197,82.0,5,540000,6-8 years,20-50K,5.4
Datsun GO,Datsun,GO,6,70000,Individual,Petrol,Manual,20.62,1198,67.0,7,300000,6-8 years,50-100K,3.0
Maruti Swift Dzire,Maruti,Swift Dzire,2,10000,Individual,Petrol,Manual,21.21,1197,81.8,5,640000,0-2 years,0-20K,6.4
Maruti Vitara,Maruti,Vitara,3,34000,Dealer,Diesel,Automatic,24.3,1248,88.5,5,875000,3-5 years,20-50K,8.75
Maruti Vitara,Maruti,Vitara,4,39000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000,3-5 years,20-50K,7.5
Tata Tiago,Tata,Tiago,1,10000,Individual,Petrol,Manual,23.84,1199,83.83,5,535000,0-2 years,0-20K,5.35
Honda City,Honda,City,12,66000,Dealer,Petrol,Manual,17.0,1497,118.0,5,262000,9-12 years,50-100K,2.62
Maruti Ciaz,Maruti,Ciaz,5,38000,Dealer,Diesel,Manual,28.09,1248,88.5,5,591000,3-5 years,20-50K,5.91
Hyundai i20,Hyundai,i20,8,110000,Individual,Diesel,Manual,21.9,1396,88.76,5,350000,6-8 years,100-150K,3.5
Maruti Ertiga,Maruti,Ertiga,3,25000,Individual,Petrol,Manual,17.5,1373,91.1,7,720000,3-5 years,20-50K,7.2
Hyundai Creta,Hyundai,Creta,3,40000,Individual,Diesel,Manual,22.1,1396,88.7,5,1050000,3-5 years,20-50K,10.5
Audi A4,Audi,A4,10,61000,Individual,Diesel,Automatic,15.2,1968,140.8,5,1000000,9-12 years,50-100K,10.0
Tata Tiago,Tata,Tiago,3,63000,Individual,Diesel,Manual,27.28,1047,69.0,5,380000,3-5 years,50-100K,3.8
Maruti Vitara,Maruti,Vitara,2,7980,Dealer,Diesel,Manual,24.3,1248,88.5,5,850000,0-2 years,0-20K,8.5
Maruti Alto,Maruti,Alto,5,30000,Individual,Petrol,Manual,22.74,796,47.3,5,225000,3-5 years,20-50K,2.25
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,10,60000,Dealer,Petrol,Manual,12.3,1796,185.0,5,890000,9-12 years,50-100K,8.9
Maruti Swift,Maruti,Swift,4,45000,Dealer,Diesel,Manual,28.4,1248,74.0,5,560000,3-5 years,20-50K,5.6
Maruti Baleno,Maruti,Baleno,15,43000,Individual,Petrol,Manual,15.4,1590,94.0,5,120000,13+ years,20-50K,1.2
Ford Endeavour,Ford,Endeavour,10,62000,Dealer,Diesel,Automatic,11.4,2953,153.86,7,425000,9-12 years,50-100K,4.25
Tata Nexon,Tata,Nexon,2,6507,Dealer,Petrol,Automatic,17.0,1198,108.5,5,875000,0-2 years,0-20K,8.75
Ford Aspire,Ford,Aspire,3,8000,Individual,Petrol,Manual,18.16,1196,86.8,5,590000,3-5 years,0-20K,5.9
Honda City,Honda,City,9,51000,Dealer,Petrol,Manual,16.8,1497,116.3,5,440000,9-12 years,50-100K,4.4
Maruti Wagon R,Maruti,Wagon R,12,120000,Individual,LPG,Manual,17.3,1061,57.5,5,110000,9-12 years,100-150K,1.1
Maruti Wagon R,Maruti,Wagon R,6,114183,Individual,Petrol,Manual,21.79,998,67.05,5,350000,6-8 years,100-150K,3.5
Hyundai Grand,Hyundai,Grand,1,15000,Individual,Petrol,Automatic,20.7,1197,81.86,5,650000,0-2 years,0-20K,6.5
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,4,49000,Dealer,Diesel,Automatic,10.0,2148,170.0,5,3975000,3-5 years,20-50K,39.75
Honda City,Honda,City,12,75000,Dealer,Petrol,Manual,17.0,1497,118.0,5,260000,9-12 years,50-100K,2.6
Hyundai Grand,Hyundai,Grand,6,50000,Individual,Petrol,Manual,18.9,1197,82.0,5,405000,6-8 years,20-50K,4.05
Toyota Innova,Toyota,Innova,2,29250,Dealer,Diesel,Manual,13.68,2393,147.8,8,1950000,0-2 years,20-50K,19.5
Mahindra XUV500,Mahindra,XUV500,5,100000,Individual,Diesel,Automatic,16.0,1997,140.0,7,1180000,3-5 years,50-100K,11.8
Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,2179,120.0,7,970000,3-5 years,20-50K,9.7
Maruti Swift Dzire,Maruti,Swift Dzire,13,120000,Individual,Diesel,Manual,19.3,1248,73.9,5,165000,13+ years,100-150K,1.65
Honda City,Honda,City,5,55000,Dealer,Petrol,Manual,17.8,1497,117.3,5,650000,3-5 years,50-100K,6.5
Hyundai Elantra,Hyundai,Elantra,4,43500,Dealer,Petrol,Automatic,14.62,1999,149.92,5,1245000,3-5 years,20-50K,12.45
Maruti Vitara,Maruti,Vitara,5,70000,Dealer,Diesel,Manual,24.3,1248,88.5,5,680000,3-5 years,50-100K,6.8
Maruti Swift,Maruti,Swift,9,120000,Individual,Diesel,Manual,22.9,1248,74.0,5,500000,9-12 years,100-150K,5.0
Hyundai i10,Hyundai,i10,9,70000,Individual,Petrol,Manual,20.36,1197,78.9,5,200000,9-12 years,50-100K,2.0
Maruti Wagon R,Maruti,Wagon R,10,53000,Dealer,Petrol,Manual,20.51,998,67.04,5,275000,9-12 years,50-100K,2.75
Hyundai Venue,Hyundai,Venue,1,5000,Dealer,Diesel,Manual,23.7,1493,98.6,5,890000,0-2 years,0-20K,8.9
Hyundai Verna,Hyundai,Verna,8,58000,Dealer,Diesel,Manual,22.32,1582,126.3,5,360000,6-8 years,50-100K,3.6
Hyundai i20,Hyundai,i20,2,15000,Dealer,Petrol,Manual,18.6,1197,81.86,5,620000,0-2 years,0-20K,6.2
Hyundai Grand,Hyundai,Grand,6,55000,Dealer,Petrol,Manual,18.9,1197,82.0,5,360000,6-8 years,50-100K,3.6
Datsun RediGO,Datsun,RediGO,2,10000,Individual,Petrol,Manual,22.7,799,53.64,5,260000,0-2 years,0-20K,2.6
Maruti Swift Dzire,Maruti,Swift Dzire,4,46122,Dealer,Petrol,Automatic,22.0,1197,81.8,5,650000,3-5 years,20-50K,6.5
Maruti Vitara,Maruti,Vitara,5,74962,Dealer,Diesel,Manual,24.3,1248,88.5,5,681000,3-5 years,50-100K,6.81
Maruti Eeco,Maruti,Eeco,6,40000,Individual,Petrol,Manual,15.37,1196,73.0,7,215000,6-8 years,20-50K,2.15
Toyota Fortuner,Toyota,Fortuner,3,39000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,3050000,3-5 years,20-50K,30.5
Hyundai Santro,Hyundai,Santro,11,70000,Individual,Petrol,Manual,17.92,1086,62.1,5,225000,9-12 years,50-100K,2.25
Maruti Ertiga,Maruti,Ertiga,8,60000,Dealer,Diesel,Manual,20.77,1248,88.8,7,400000,6-8 years,50-100K,4.0
Ford Ecosport,Ford,Ecosport,5,23256,Trustmark Dealer,Petrol,Manual,17.0,1497,121.36,5,585000,3-5 years,20-50K,5.85
Maruti Vitara,Maruti,Vitara,5,84000,Individual,Diesel,Manual,24.3,1248,88.5,5,525000,3-5 years,50-100K,5.25
